Year,SAT_Total,SAT_Reading,SAT_Math,NGSS
2024,1180,610,570,1153
2024,1170,600,570,1149
2024,820,410,410,1072
2024,800,400,400,1084
2024,630,320,310,1057
2024,1250,590,660,1152
2024,900,450,450,1116
2024,960,490,470,1127
2024,1220,610,610,1111
2024,880,440,440,1126
2024,940,500,440,1100
2024,1230,620,610,1139
2024,1070,570,500,1112
2024,1060,570,490,1089
2024,730,440,290,1072
2024,1220,610,610,1136
2024,640,330,310,1067
2024,1260,670,590,1133
2024,1000,540,460,1088
2024,1250,620,630,1118
2024,1000,590,410,1118
2024,1190,650,540,1139
2024,1100,560,540,1076
2024,1090,540,550,1059
2024,1170,610,560,1106
2024,870,440,430,1123
2024,1390,720,670,1144
2024,1220,640,580,1145
2024,1160,550,610,1112
2024,1010,520,490,1105
2024,910,480,430,1092
2024,860,480,380,1101
2024,950,510,440,1101
2024,860,490,370,1074
2024,1040,550,490,1115
2024,840,400,440,1110
2024,820,420,400,1049
2024,980,560,420,1094
2024,1280,700,580,1165
2024,890,480,410,1096
2024,820,450,370,1096
2024,1260,620,640,1159
2024,1060,520,540,1121
2024,1090,560,530,1114
2024,1000,470,530,1109
2024,1120,560,560,1109
2024,750,360,390,1073
2024,1240,660,580,1135
2024,830,440,390,1093
2024,1250,640,610,1145
2024,1050,510,540,1084
2024,1060,520,540,1151
2024,1020,500,520,1102
2024,1140,630,510,1120
2024,850,420,430,1101
2024,1310,690,620,1111
2024,1330,670,660,1160
2024,1100,570,530,1126
2024,1110,580,530,1078
2024,990,520,470,1104
2024,1010,490,520,1127
2024,810,420,390,1089
2024,740,370,370,1056
2024,1030,530,500,1112
2024,970,510,460,1081
2024,1010,560,450,1085
2024,1050,540,510,1151
2024,1480,770,710,1177
2024,1040,520,520,1127
2024,1500,800,700,1173
2024,1080,590,490,1131
2024,990,520,470,1111
2024,1140,700,440,1146
2024,1100,550,550,1126
2024,1370,730,640,1182
2024,980,570,410,1116
2024,810,420,390,1081
2024,750,420,330,1076
2024,790,430,360,1087
2024,1150,630,520,1141
2024,930,490,440,1116
2024,1080,580,500,1114
2024,1080,590,490,1104
2024,1310,660,650,1155
2024,960,550,410,1079
2024,910,480,430,1071
2024,760,370,390,1092
2024,900,460,440,1086
2024,930,480,450,1081
2024,1160,590,570,1118
2024,830,430,400,1083
2024,990,500,490,1097
2024,460,200,260,1062
2024,1070,560,510,1100
2024,1210,550,660,1127
2024,1270,640,630,1132
2024,940,510,430,1128
2024,1170,580,590,1137
2024,1510,760,750,1199
2024,880,450,430,1111
2024,1110,550,560,1127
2024,890,480,410,1069
2024,1150,570,580,1093
2024,900,460,440,1080
2024,1050,530,520,1125
2024,700,320,380,1066
2024,1210,610,600,1144
2024,1080,590,490,1102
2024,590,390,200,1055
2023,1130,540,590,1088
2023,1160,570,590,1123
2023,1460,700,760,1103
2023,910,430,480,1071
2023,1050,580,470,1099
2023,1080,490,590,1127
2023,1030,500,530,1100
2023,980,450,530,1087
2023,1020,510,510,1097
2023,1160,560,600,1115
2023,1050,560,490,1124
2023,1180,630,550,1122
2023,1380,700,680,1086
2023,880,460,420,1100
2023,1140,570,570,1111
2023,1030,490,540,1110
2023,930,550,380,1081
2023,1180,590,590,1170
2023,890,460,430,1069
2023,1250,620,630,1140
2023,760,430,330,1081
2023,1100,530,570,1095
2023,730,360,370,1081
2023,1150,580,570,1116
2023,1100,560,540,1162
2023,840,440,400,1038
2023,1110,520,590,1116
2023,1320,680,640,1156
2023,840,390,450,1086
2023,1080,560,520,1117
2023,1320,680,640,1108
2023,1340,710,630,1142
2023,1050,540,510,1105
2023,770,350,420,1072
2023,1080,530,550,1092
2023,1040,510,530,1087
2023,1260,630,630,1146
2023,1120,590,530,1098
2023,530,200,330,1079
2023,970,540,430,1099
2023,1110,540,570,1106
2023,1230,650,580,1162
2023,960,470,490,1127
2023,980,510,470,1101
2023,860,430,430,1070
2023,1020,560,460,1134
2023,800,370,430,1088
2023,1240,700,540,1117
2023,900,490,410,1070
2023,840,440,400,1080
2023,790,440,350,1085
2023,1400,720,680,1166
2023,910,480,430,1109
2023,1040,440,600,1125
2023,1130,590,540,1129
2023,1160,560,600,1103
2023,1180,560,620,1122
2023,990,530,460,1120
2023,1440,750,690,1164
2023,940,480,460,1109
2023,1040,540,500,1090
2023,1440,700,740,1179
2023,970,500,470,1084
2023,1190,550,640,1120
2023,1000,500,500,1090
2023,970,480,490,1109
2023,1180,680,500,1139
2023,980,500,480,1112
2023,870,440,430,1075
2023,980,500,480,1080
2023,1070,500,570,1091
2023,820,430,390,1048
2023,1140,590,550,1119
2023,1120,550,570,1111
2023,1430,680,750,1135
2023,900,440,460,1105
2023,830,430,400,1103
2023,1070,570,500,1116
2023,990,560,430,1093
2023,960,530,430,1130
2023,770,450,320,1091
2023,900,420,480,1114
2023,760,410,350,1086
2023,720,370,350,1106
2023,870,420,450,1072
2023,1090,580,510,1143
2023,1210,660,550,1135
2023,1190,600,590,1136
2023,840,390,450,1107
2023,1100,540,560,1130
2023,750,400,350,1061
2023,1110,490,620,1121
2023,920,460,460,1097
2023,940,490,450,1104
2023,770,350,420,1105
2023,1220,570,650,1068
2023,1070,550,520,1105
2023,1280,670,610,1144
2023,960,510,450,1103
2023,770,390,380,1082
2023,820,400,420,1070
2023,1190,590,600,1166
2023,980,490,490,1089
2023,1070,510,560,1099
2023,930,420,510,1088
2023,1090,580,510,1120
2023,920,450,470,1094
2023,930,460,470,1092
2023,820,420,400,1080
2023,970,500,470,1089
2023,1110,530,580,1128
2023,1130,570,560,1134
2023,1000,540,460,1120
2023,780,390,390,1101
2023,840,470,370,1093
2023,830,440,390,1084
2023,1310,700,610,1130
2023,1110,570,540,1134
2023,910,480,430,1055
2023,1130,600,530,1128
2023,1040,550,490,1081
2023,1110,550,560,1142
2023,1040,540,500,1117
2023,910,460,450,1071
2023,1320,620,700,1148
2023,1130,600,530,1120
2023,1020,510,510,1116
2023,930,520,410,1126
2023,1200,660,540,1118
2023,880,420,460,1075
2023,760,360,400,1042
2023,1140,620,520,1105
2023,930,370,560,1073
2023,1110,630,480,1105
2023,810,420,390,1072
2023,1020,530,490,1074
2023,1230,590,640,1126
2023,810,430,380,1091
2023,850,440,410,1098
2023,1020,460,560,1076
2022,800,420,380,1056
2022,690,350,340,1083
2022,700,360,340,1073
2022,1060,530,530,1099
2022,910,460,450,1082
2022,790,410,380,1088
2022,1250,670,580,1151
2022,760,400,360,1083
2022,1000,450,550,1064
2022,1000,570,430,1124
2022,1220,610,610,1120
2022,970,570,400,1117
2022,1240,670,570,1124
2022,1160,610,550,1120
2022,720,350,370,1058
2022,1160,610,550,1123
2022,1020,480,540,1156
2022,1250,620,630,1131
2022,740,380,360,1083
2022,720,450,270,1063
2022,1030,520,510,1117
2022,1190,620,570,1141
2022,1090,570,520,1091
2022,460,260,200,1053
2022,1070,540,530,1121
2022,840,430,410,1074
2022,870,520,350,1073
2022,1010,520,490,1100
2022,940,440,500,1091
2022,1320,640,680,1125
2022,930,460,470,1101
2022,840,460,380,1040
2022,790,390,400,1074
2022,1240,650,590,1040
2022,1260,650,610,1133
2022,1000,490,510,1059
2022,1100,630,470,1086
2022,1240,670,570,1088
2022,930,530,400,1059
2022,770,400,370,1072
2022,1080,540,540,1108
2022,730,370,360,1068
2022,890,380,510,1094
2022,890,440,450,1091
2022,700,370,330,1055
2022,780,380,400,1024
2022,1230,660,570,1136
2022,870,470,400,1111
2022,1410,750,660,1154
2022,1290,640,650,1121
2022,910,450,460,1081
2022,1110,530,580,1096
2022,940,440,500,1075
2022,1130,520,610,1106
2022,1080,550,530,1105
2022,1010,580,430,1115
2022,1090,570,520,1118
2022,850,450,400,1058
2022,950,380,570,1058
2022,1040,510,530,1090
2022,1140,580,560,1118
2022,820,350,470,1057
2022,780,400,380,1043
2022,720,360,360,1083
2022,970,510,460,1091
2022,960,500,460,1082
2022,900,480,420,1086
2022,730,440,290,1041
2022,1050,500,550,1072
2022,920,460,460,1069
2022,810,460,350,1086
2022,1120,580,540,1125
2022,810,390,420,1084
2022,740,410,330,1064
2022,1150,600,550,1138
2022,750,370,380,1063
2022,760,350,410,1058
2022,1180,570,610,1118
2022,1080,550,530,1111
2022,1130,540,590,1107
2022,940,470,470,1095
2022,1190,630,560,1133
2022,750,390,360,1058
2022,810,460,350,1097
2022,1080,530,550,1124
2022,1200,620,580,1057
2022,1040,510,530,1060
2022,980,470,510,1099
2022,890,470,420,1100
2022,920,500,420,1084
2022,1000,460,540,1075
2022,850,390,460,1064
2022,1140,630,510,1143
2022,870,400,470,1102
2022,1140,600,540,1112
2022,710,370,340,1064
2022,680,350,330,1069
2022,790,430,360,1073
2022,1040,520,520,1123
2022,1280,650,630,1162
2022,870,440,430,1099
2022,980,440,540,1121
2022,1120,600,520,1129
2022,1120,610,510,1037
2022,1160,590,570,1151
2022,1230,620,610,1131
2022,1020,530,490,1087
2022,1170,600,570,1109
2022,1260,680,580,1103
2022,1370,720,650,1158
2022,760,390,370,1062
2022,870,410,460,1102
2022,900,470,430,1097
2022,1030,530,500,1104
2022,960,550,410,1104
2022,1100,600,500,1149
2022,1200,610,590,1130
2022,1110,570,540,1106
2022,890,420,470,1100
2025,810,420,390,1100
2025,1120,550,570,1112
2025,930,520,410,1088
2025,1330,660,670,1133
2025,1080,560,520,1133
2025,870,450,420,1071
2025,980,550,430,1094
2025,1120,540,580,1116
2025,1150,590,560,1088
2025,1220,630,590,1117
2025,940,460,480,1095
2025,1000,530,470,1113
2025,930,470,460,1088
2025,830,420,410,1091
2025,970,540,430,1121
2025,910,480,430,1105
2025,830,450,380,1071
2025,1100,580,520,1102
2025,1220,660,560,1103
2025,810,400,410,1067
2025,1050,510,540,1120
2025,910,490,420,1109
2025,1190,610,580,1143
2025,1200,640,560,1138
2025,1380,710,670,1162
2025,1070,590,480,1116
2025,910,470,440,1094
2025,1090,650,440,1101
2025,750,370,380,1087
2025,1210,650,560,1153
2025,1070,560,510,1119
2025,1090,540,550,1094
2025,1140,610,530,1118
2025,970,520,450,1119
2025,870,460,410,1114
2025,990,520,470,1140
2025,830,410,420,1109
2025,1150,610,540,1142
2025,1060,540,520,1132
2025,1270,650,620,1162
2025,930,510,420,1110
2025,880,490,390,1101
2025,1040,570,470,1148
2025,940,500,440,1088
2025,1300,640,660,1123
2025,1360,680,680,1129
2025,970,510,460,1117
2025,980,540,440,1118
2025,950,500,450,1118
2025,640,340,300,1089
2025,1000,570,430,1111
2025,1140,660,480,1138
2025,1350,690,660,1144
2025,1140,610,530,1140
2025,920,500,420,1065
2025,1360,720,640,1199
2025,1140,630,510,1120
2025,1090,570,520,1116
2025,1090,550,540,1117
2025,1250,630,620,1128
2025,1170,600,570,1107
2025,960,530,430,1142
2025,910,500,410,1120
2025,1340,670,670,1142
2025,1010,540,470,1121
2025,1390,710,680,1179
2025,1030,560,470,1116
2025,1020,610,410,1109
2025,1170,640,530,1122
2025,940,500,440,1107
2025,910,470,440,1117
2025,950,530,420,1125
2025,1130,520,610,1132
2025,970,530,440,1115
2025,940,500,440,1116
2025,920,530,390,1096
2025,1110,540,570,1127
2025,1150,580,570,1116
2025,1000,580,420,1107
2025,920,490,430,1089
2025,1200,590,610,1137
2025,960,520,440,1104
2025,960,550,410,1101
2025,1020,490,530,1085
2025,1030,550,480,1125
2025,1130,590,540,1110
2025,1150,610,540,1116
2025,1000,540,460,1113
2025,950,500,450,1087
2025,1000,500,500,1108
2025,890,450,440,1093
2025,1260,710,550,1148
2025,930,500,430,1125
2025,980,520,460,1108
2025,820,430,390,1096
2025,1080,530,550,1114
2025,1210,650,560,1139
2025,960,490,470,1086
2025,860,450,410,1097
2025,1070,590,480,1133
2025,880,470,410,1112
2025,720,370,350,1056
2025,890,440,450,1070
2025,1150,590,560,1127
2025,1230,620,610,1167
2025,940,500,440,1121
2025,1170,650,520,1172
2025,1000,590,410,1137
2025,650,320,330,1083
2025,870,440,430,1093
2025,1010,510,500,1116
2025,1150,610,540,1137
2025,1150,620,530,1124
2025,1150,560,590,1119
2025,920,470,450,1105
2025,920,480,440,1101